Id;Marker;Active;X;Y;Z
0;1;1;0.0000000000000000e+00;0.0000000000000000e+00;0.0000000000000000e+00
1;5;1;2.0047999999999958e-02;0.0000000000000000e+00;0.0000000000000000e+00
2;8;1;-6.7762635780344027e-21;2.0047999999999944e-02;0.0000000000000000e+00
3;0;1;2.0047999999999958e-02;6.3516638644182145e-03;0.0000000000000000e+00
4;0;1;6.5038736326232839e-03;2.0047999999999944e-02;0.0000000000000000e+00
5;5;1;6.0043999999999993e-02;-6.7762635780344027e-21;0.0000000000000000e+00
6;0;1;4.5098409894687025e-02;1.9219995179460332e-02;0.0000000000000000e+00
7;0;1;6.0043999999999993e-02;9.3812948919900201e-03;0.0000000000000000e+00
8;5;1;1.0003999999999993e-01;0.0000000000000000e+00;0.0000000000000000e+00
9;0;1;1.0003999999999993e-01;1.3053136992101434e-02;0.0000000000000000e+00
10;0;1;8.0894886417271092e-02;2.2223271495930452e-02;0.0000000000000000e+00
11;5;1;1.4003599999999994e-01;0.0000000000000000e+00;0.0000000000000000e+00
12;0;1;1.4003599999999994e-01;1.1878329795874975e-02;0.0000000000000000e+00
13;0;1;1.1791551071092003e-01;2.3953131102747275e-02;0.0000000000000000e+00
14;5;1;1.8003199999999991e-01;-6.7762635780344027e-21;0.0000000000000000e+00
15;0;1;1.8003199999999989e-01;1.1657173300008259e-02;0.0000000000000000e+00
16;0;1;1.5929652900841287e-01;2.3345397003807101e-02;0.0000000000000000e+00
17;0;1;1.2615244773452480e-02;1.4003599999999994e-01;0.0000000000000000e+00
18;8;1;6.7762635780344027e-21;1.8003199999999989e-01;0.0000000000000000e+00
19;8;1;6.7762635780344027e-21;1.4003599999999994e-01;0.0000000000000000e+00
20;0;1;2.3808236632575232e-02;1.5914817777162107e-01;0.0000000000000000e+00
21;0;1;1.2715525190689211e-02;1.8003199999999989e-01;0.0000000000000000e+00
22;0;1;1.3331543367679543e-02;1.0003999999999996e-01;0.0000000000000000e+00
23;8;1;6.7762635780344027e-21;1.0003999999999996e-01;0.0000000000000000e+00
24;0;1;2.4294589264025904e-02;1.1760264834483584e-01;0.0000000000000000e+00
25;0;1;2.2534643864507185e-02;7.9786358038053506e-02;0.0000000000000000e+00
