Id;Num2DNeighbours;2DNeighbours;Num3DNeighbours;3DNeighbours
0;2;1;0;0
1;2;15;0;0
2;2;0;8;0
3;2;0;4294967295;0
4;2;4294967295;0;0
5;2;2;1;0
6;2;1;9;0
7;2;1;15;0
8;2;4294967295;1;0
9;2;3;2;0
10;2;10;2;0
11;2;2;9;0
12;2;4294967295;2;0
13;2;4;3;0
14;2;11;3;0
15;2;3;10;0
16;2;4294967295;3;0
17;2;26;4;0
18;2;30;4;0
19;2;4;11;0
20;2;4294967295;4;0
21;2;4294967295;5;0
22;2;5;6;0
23;2;12;5;0
24;2;141;5;0
25;2;5;137;0
26;2;4294967295;6;0
27;2;6;7;0
28;2;13;6;0
29;2;6;12;0
30;2;4294967295;7;0
31;2;7;8;0
32;2;7;14;0
33;2;7;13;0
34;2;15;8;0
35;2;8;14;0
36;2;8;4294967295;0
37;2;14;9;0
38;2;9;15;0
39;2;10;9;0
40;2;9;20;0
41;2;11;10;0
42;2;10;16;0
43;2;10;20;0
44;2;11;16;0
45;2;30;11;0
46;2;11;17;0
47;2;18;12;0
48;2;12;141;0
49;2;13;12;0
50;2;12;19;0
51;2;14;13;0
52;2;20;13;0
53;2;13;19;0
54;2;20;14;0
55;2;15;14;0
56;2;16;20;0
57;2;17;16;0
58;2;16;21;0
59;2;16;23;0
60;2;30;17;0
61;2;17;34;0
62;2;38;17;0
63;2;17;21;0
64;2;18;141;0
65;2;19;18;0
66;2;22;18;0
67;2;149;18;0
68;2;18;145;0
69;2;20;19;0
70;2;19;23;0
71;2;19;22;0
72;2;23;20;0
73;2;38;21;0
74;2;21;24;0
75;2;21;22;0
76;2;21;23;0
77;2;24;22;0
78;2;25;22;0
79;2;22;149;0
80;2;23;22;0
81;2;154;24;0
82;2;24;25;0
83;2;38;24;0
84;2;24;42;0
85;2;25;149;0
86;2;154;25;0
87;2;25;153;0
88;2;27;26;0
89;2;31;26;0
90;2;26;30;0
91;2;4294967295;26;0
92;2;28;27;0
93;2;32;27;0
94;2;27;31;0
95;2;4294967295;27;0
96;2;29;28;0
97;2;33;28;0
98;2;28;32;0
99;2;4294967295;28;0
100;2;46;29;0
101;2;50;29;0
102;2;29;33;0
103;2;4294967295;29;0
104;2;30;34;0
105;2;31;30;0
106;2;32;31;0
107;2;31;35;0
108;2;31;34;0
109;2;33;32;0
110;2;36;32;0
111;2;32;35;0
112;2;50;33;0
113;2;33;37;0
114;2;33;36;0
115;2;35;34;0
116;2;34;39;0
117;2;34;38;0
118;2;36;35;0
119;2;40;35;0
120;2;35;39;0
121;2;37;36;0
122;2;41;36;0
123;2;36;40;0
124;2;55;37;0
125;2;59;37;0
126;2;37;41;0
127;2;50;37;0
128;2;38;42;0
129;2;39;38;0
130;2;39;42;0
131;2;40;39;0
132;2;39;43;0
133;2;41;40;0
134;2;44;40;0
135;2;40;43;0
136;2;59;41;0
137;2;41;45;0
138;2;41;44;0
139;2;43;42;0
140;2;155;42;0
141;2;42;154;0
142;2;156;43;0
143;2;43;155;0
144;2;44;43;0
145;2;45;44;0
146;2;157;44;0
147;2;44;156;0
148;2;59;45;0
149;2;64;45;0
150;2;175;45;0
151;2;45;157;0
152;2;47;46;0
153;2;51;46;0
154;2;46;50;0
155;2;4294967295;46;0
156;2;48;47;0
157;2;52;47;0
158;2;47;51;0
159;2;4294967295;47;0
160;2;49;48;0
161;2;53;48;0
162;2;48;52;0
163;2;4294967295;48;0
164;2;4294967295;49;0
165;2;68;49;0
166;2;49;54;0
167;2;49;53;0
168;2;50;55;0
169;2;51;50;0
170;2;52;51;0
171;2;51;56;0
172;2;51;55;0
173;2;57;52;0
174;2;52;56;0
175;2;53;52;0
176;2;54;53;0
177;2;53;58;0
178;2;53;57;0
179;2;72;54;0
180;2;54;76;0
181;2;54;58;0
182;2;68;54;0
183;2;60;55;0
184;2;55;59;0
185;2;56;55;0
186;2;57;56;0
187;2;61;56;0
188;2;56;60;0
189;2;58;57;0
190;2;62;57;0
191;2;57;61;0
192;2;76;58;0
193;2;63;58;0
194;2;58;62;0
195;2;59;64;0
196;2;60;59;0
197;2;61;60;0
198;2;65;60;0
199;2;60;64;0
200;2;62;61;0
201;2;66;61;0
202;2;61;65;0
203;2;63;62;0
204;2;67;62;0
205;2;62;66;0
206;2;76;63;0
207;2;63;80;0
208;2;84;63;0
209;2;63;67;0
210;2;65;64;0
211;2;176;64;0
212;2;64;175;0
213;2;66;65;0
214;2;65;177;0
215;2;65;176;0
216;2;67;66;0
217;2;178;66;0
218;2;66;177;0
219;2;84;67;0
220;2;67;179;0
221;2;67;178;0
222;2;69;68;0
223;2;68;72;0
224;2;4294967295;68;0
225;2;70;69;0
226;2;73;69;0
227;2;69;72;0
228;2;4294967295;69;0
229;2;71;70;0
230;2;74;70;0
231;2;70;73;0
232;2;4294967295;70;0
233;2;4294967295;71;0
234;2;88;71;0
235;2;71;75;0
236;2;71;74;0
237;2;73;72;0
238;2;77;72;0
239;2;72;76;0
240;2;73;77;0
241;2;74;73;0
242;2;73;78;0
243;2;75;74;0
244;2;74;79;0
245;2;74;78;0
246;2;88;75;0
247;2;92;75;0
248;2;75;96;0
249;2;75;79;0
250;2;77;76;0
251;2;76;80;0
252;2;78;77;0
253;2;77;81;0
254;2;77;80;0
255;2;79;78;0
256;2;78;82;0
257;2;78;81;0
258;2;79;82;0
259;2;96;79;0
260;2;79;83;0
261;2;81;80;0
262;2;85;80;0
263;2;80;84;0
264;2;82;81;0
265;2;86;81;0
266;2;81;85;0
267;2;83;82;0
268;2;87;82;0
269;2;82;86;0
270;2;96;83;0
271;2;100;83;0
272;2;83;104;0
273;2;83;87;0
274;2;85;84;0
275;2;84;198;0
276;2;84;179;0
277;2;199;85;0
278;2;85;198;0
279;2;86;85;0
280;2;87;86;0
281;2;86;200;0
282;2;86;199;0
283;2;104;87;0
284;2;201;87;0
285;2;87;200;0
286;2;89;88;0
287;2;88;92;0
288;2;4294967295;88;0
289;2;90;89;0
290;2;93;89;0
291;2;89;92;0
292;2;4294967295;89;0
293;2;91;90;0
294;2;94;90;0
295;2;90;93;0
296;2;4294967295;90;0
297;2;4294967295;91;0
298;2;109;91;0
299;2;91;95;0
300;2;91;94;0
301;2;93;92;0
302;2;97;92;0
303;2;92;96;0
304;2;93;97;0
305;2;94;93;0
306;2;93;98;0
307;2;95;94;0
308;2;94;99;0
309;2;94;98;0
310;2;109;95;0
311;2;117;95;0
312;2;95;124;0
313;2;95;99;0
314;2;97;96;0
315;2;96;100;0
316;2;98;97;0
