Id;Marker;Active;NumVertices;Vertices;NumEdges;Edges
0;0;1;5;1;2;0;3;4;5;0;1;2;3;4
1;0;1;5;5;4;3;6;7;5;5;3;6;7;8
2;0;1;5;8;9;10;7;6;5;9;10;11;7;12
3;0;1;5;11;12;13;9;8;5;13;14;15;9;16
4;0;1;5;5;15;14;1;4;5;17;18;19;4;5
5;0;1;6;16;15;5;7;10;17;6;20;17;8;11;21;22
6;0;1;6;18;19;17;10;9;13;6;23;24;21;10;15;25
7;0;1;5;14;21;20;2;1;5;26;27;28;0;19
8;0;1;6;15;16;23;22;21;14;6;20;29;30;31;26;18
9;0;1;5;12;24;25;18;13;5;32;33;34;25;14
10;0;1;5;26;20;21;22;27;5;35;27;31;36;37
11;0;1;6;28;29;23;16;17;19;6;38;39;29;22;24;40
12;0;1;6;25;30;31;28;19;18;6;41;42;43;40;23;34
13;0;1;5;24;32;33;30;25;5;44;45;46;41;33
14;0;1;6;29;34;35;27;22;23;6;47;48;49;36;30;39
15;0;1;6;36;37;34;29;28;31;6;50;51;47;38;43;52
16;0;1;5;30;33;38;36;31;5;46;53;54;52;42
17;0;1;5;39;40;26;27;35;5;55;56;37;49;57
18;0;1;5;39;35;34;37;41;5;57;48;51;58;59
19;0;1;5;37;36;38;42;41;5;50;54;60;61;58
20;0;1;5;43;42;38;33;32;5;62;60;53;45;63
