Id;Marker;Active;X;Y;Z
0;1;1;0.0000000000000000e+00;0.0000000000000000e+00;0.0000000000000000e+00
1;0;1;5.5280404351472308e-02;1.6669999999999996e-01;0.0000000000000000e+00
2;8;1;-6.7762635780344027e-21;1.6669999999999996e-01;0.0000000000000000e+00
3;5;1;1.6669999999999999e-01;-6.7762635780344027e-21;0.0000000000000000e+00
4;0;1;1.6669999999999999e-01;5.5280404351472280e-02;0.0000000000000000e+00
5;0;1;3.5257350712433672e-01;1.4861875509992997e-01;0.0000000000000000e+00
6;5;1;5.0000000000000000e-01;-6.7762635780344027e-21;0.0000000000000000e+00
7;0;1;5.0000000000000000e-01;7.1688844902943347e-02;0.0000000000000000e+00
8;5;1;8.3329999999999993e-01;-6.7762635780344027e-21;0.0000000000000000e+00
9;0;1;8.3329999999999993e-01;1.0325235906163620e-01;0.0000000000000000e+00
10;0;1;6.0512384392859464e-01;1.5737044747856965e-01;0.0000000000000000e+00
11;2;1;1.0000000000000000e+00;0.0000000000000000e+00;0.0000000000000000e+00
12;6;1;1.0000000000000000e+00;1.6669999999999999e-01;0.0000000000000000e+00
13;0;1;8.9699535523726270e-01;1.6669999999999999e-01;0.0000000000000000e+00
14;0;1;1.4882369534504650e-01;3.5298162406453626e-01;0.0000000000000000e+00
15;0;1;3.3135935465789335e-01;3.3538632206994012e-01;0.0000000000000000e+00
16;0;1;3.9260914154828186e-01;3.9650624049968614e-01;0.0000000000000000e+00
17;0;1;5.8884859185490035e-01;3.6512549402617828e-01;0.0000000000000000e+00
18;0;1;8.4214609034785737e-01;4.0089984625609409e-01;0.0000000000000000e+00
19;0;1;6.5138802045653676e-01;4.2280106442529169e-01;0.0000000000000000e+00
20;8;1;0.0000000000000000e+00;5.0000000000000000e-01;0.0000000000000000e+00
21;0;1;6.8416299312611173e-02;5.0000000000000000e-01;0.0000000000000000e+00
22;0;1;1.6328298288877605e-01;6.1706913092653382e-01;0.0000000000000000e+00
23;0;1;3.5583976283328256e-01;6.0195282631940428e-01;0.0000000000000000e+00
24;6;1;1.0000000000000000e+00;5.0000000000000000e-01;0.0000000000000000e+00
25;0;1;9.3425009969871575e-01;5.0000000000000000e-01;0.0000000000000000e+00
26;8;1;0.0000000000000000e+00;8.3329999999999993e-01;0.0000000000000000e+00
27;0;1;9.4545042065290519e-02;8.3329999999999993e-01;0.0000000000000000e+00
28;0;1;6.2054264735798292e-01;6.2577128541960692e-01;0.0000000000000000e+00
29;0;1;4.1606509047165796e-01;6.6225247066455162e-01;0.0000000000000000e+00
30;0;1;8.5588345169910396e-01;6.6371609805441978e-01;0.0000000000000000e+00
31;0;1;6.8381243216837040e-01;6.8758627081290491e-01;0.0000000000000000e+00
32;6;1;1.0000000000000000e+00;8.3329999999999993e-01;0.0000000000000000e+00
33;0;1;9.6313300328097640e-01;8.3329999999999993e-01;0.0000000000000000e+00
34;0;1;4.0402726445849413e-01;8.4861710042524685e-01;0.0000000000000000e+00
35;0;1;1.6670000000000001e-01;9.1119141033232032e-01;0.0000000000000000e+00
36;0;1;6.6662003864946162e-01;8.5618063046628901e-01;0.0000000000000000e+00
37;0;1;5.0000000000000000e-01;9.3969320178192906e-01;0.0000000000000000e+00
38;0;1;8.3330000000000004e-01;9.6208716885176404e-01;0.0000000000000000e+00
39;7;1;1.6669999999999993e-01;1.0000000000000000e+00;0.0000000000000000e+00
40;4;1;0.0000000000000000e+00;1.0000000000000000e+00;0.0000000000000000e+00
41;7;1;5.0000000000000000e-01;1.0000000000000000e+00;0.0000000000000000e+00
42;7;1;8.3329999999999993e-01;1.0000000000000000e+00;0.0000000000000000e+00
43;3;1;1.0000000000000000e+00;1.0000000000000000e+00;0.0000000000000000e+00
