2.000000000000000000e+02;0.000000000000000000e+00;9.999990000000000000e+05
0.000000000000000000e+00;7.825773528675370461e-01;8.602342910016886890e-01
1.000000000000000000e+00;9.428956283377409875e+00;8.721648750070016831e-01
2.000000000000000000e+00;1.175616543314797591e+00;8.836334579973481596e-01
3.000000000000000000e+00;9.015002075438351969e-01;8.951552080106921494e-01
4.000000000000000000e+00;3.013184419290252603e+00;9.048506660037674010e-01
5.000000000000000000e+00;1.987724360007645075e+00;9.150607080082409084e-01
6.000000000000000000e+00;4.273659085371262489e-01;9.259584159881342202e-01
7.000000000000000000e+00;5.108541655496478401e-02;9.362092500086873770e-01
8.000000000000000000e+00;6.196902530268056930e-01;9.462603330030106008e-01
9.000000000000000000e+00;1.048742550407200325e+00;9.560279159923084080e-01
1.000000000000000000e+01;8.997120355872054720e-01;9.654803749872371554e-01
1.100000000000000000e+01;4.641453216357874778e-01;9.752419159922283143e-01
1.200000000000000000e+01;1.230862199021651726e-01;9.849222909833770245e-01
1.300000000000000000e+01;4.404169563414762206e-02;9.949159160023555160e-01
1.400000000000000000e+01;1.691539777495664754e-01;1.004386624990729615e+00
1.500000000000000000e+01;3.264394315771279032e-01;1.015250041004037485e+00
1.600000000000000000e+01;3.775525013542029851e-01;1.024755207996349782e+00
1.700000000000000000e+01;3.032828975945099370e-01;1.034115832997485995e+00
1.800000000000000000e+01;1.711997104595107122e-01;1.043706875003408641e+00
1.900000000000000000e+01;5.938853270847737481e-02;1.053214415995171294e+00
2.000000000000000000e+01;9.628096779885601461e-03;1.062758540996583179e+00
2.100000000000000000e+01;2.139030368173448077e-02;1.072598333004862070e+00
2.200000000000000000e+01;6.770570358750332973e-02;1.082233458000700921e+00
2.300000000000000000e+01;1.152619246107014078e-01;1.091545250004855916e+00
2.400000000000000000e+01;1.400513049793026266e-01;1.101150125003186986e+00
2.500000000000000000e+01;1.344552251141013510e-01;1.110655500000575557e+00
2.600000000000000000e+01;1.052922995724009797e-01;1.120002415991621092e+00
2.700000000000000000e+01;6.661841186287592587e-02;1.129315375001169741e+00
2.800000000000000000e+01;3.225734362000614447e-02;1.138169457990443334e+00
2.900000000000000000e+01;1.106638229427219650e-02;1.147505291010020301e+00
3.000000000000000000e+01;5.436158739432819624e-03;1.156923000002279878e+00
3.100000000000000000e+01;1.219250424617667784e-02;1.166261375008616596e+00
3.200000000000000000e+01;2.489251481204043243e-02;1.175984500005142763e+00
3.300000000000000000e+01;3.663906511667874843e-02;1.185670083010336384e+00
3.400000000000000000e+01;4.253409149973982201e-02;1.195258291001664475e+00
3.500000000000000000e+01;4.098062047472094543e-02;1.204737874999409541e+00
3.600000000000000000e+01;3.350898506093977214e-02;1.215242750011384487e+00
3.700000000000000000e+01;2.347465410261423066e-02;1.224958500009961426e+00
3.800000000000000000e+01;1.440155091962128271e-02;1.234463708009570837e+00
3.900000000000000000e+01;8.695766007263863728e-03;1.244300332997227088e+00
4.000000000000000000e+01;7.090349490033244148e-03;1.254750791005790234e+00
4.100000000000000000e+01;8.800427115388755397e-03;1.264642416004789993e+00
4.200000000000000000e+01;1.214086481394233488e-02;1.274337249982636422e+00
4.300000000000000000e+01;1.529171473588280400e-02;1.284320625010877848e+00
4.400000000000000000e+01;1.693295848444356655e-02;1.294304207985987887e+00
4.500000000000000000e+01;1.657080492524833429e-02;1.303802457987330854e+00
4.600000000000000000e+01;1.451511526105672342e-02;1.313226124999346212e+00
4.700000000000000000e+01;1.159494918076043116e-02;1.322655374999158084e+00
4.800000000000000000e+01;8.768439196308290204e-03;1.332081790984375402e+00
4.900000000000000000e+01;6.779714729610579471e-03;1.341757124988362193e+00
5.000000000000000000e+01;5.961537679066502941e-03;1.351221207994967699e+00
5.100000000000000000e+01;6.212132449998181496e-03;1.360295416001463309e+00
5.200000000000000000e+01;7.114886076479166703e-03;1.369787290983367711e+00
5.300000000000000000e+01;8.133493306594980626e-03;1.379694665985880420e+00
5.400000000000000000e+01;8.806190099973028318e-03;1.389562166004907340e+00
5.500000000000000000e+01;8.878001546719275702e-03;1.400935457990271971e+00
5.600000000000000000e+01;8.341214238552250443e-03;1.411029790993779898e+00
5.700000000000000000e+01;7.389431025488550631e-03;1.421751665999181569e+00
5.800000000000000000e+01;6.317296150774751214e-03;1.432860833010636270e+00
5.900000000000000000e+01;5.408727059378237029e-03;1.443915665993699804e+00
6.000000000000000000e+01;4.850962840173070334e-03;1.453809500002535060e+00
6.100000000000000000e+01;4.695567540825736075e-03;1.463448041002266109e+00
6.200000000000000000e+01;4.868518482290109389e-03;1.473035665985662490e+00
6.300000000000000000e+01;5.216203966852487814e-03;1.482521500001894310e+00
6.400000000000000000e+01;5.566169276473689580e-03;1.492054041009396315e+00
6.500000000000000000e+01;5.781426022231890907e-03;1.501769208000041544e+00
6.600000000000000000e+01;5.793407707066684266e-03;1.511475957988295704e+00
6.700000000000000000e+01;5.608113378094482446e-03;1.521287457988364622e+00
6.800000000000000000e+01;5.289148508779335095e-03;1.530990166007541120e+00
6.900000000000000000e+01;4.927491892370077127e-03;1.540318082988960668e+00
7.000000000000000000e+01;4.609648765058927712e-03;1.549613749986747280e+00
7.100000000000000000e+01;4.393789532285817361e-03;1.558986957999877632e+00
7.200000000000000000e+01;4.299042184163902325e-03;1.568322083010571077e+00
7.300000000000000000e+01;4.308172822376315353e-03;1.577764582994859666e+00
7.400000000000000000e+01;4.380001166176544433e-03;1.587323749990900978e+00
7.500000000000000000e+01;4.465923331969169283e-03;1.596434874983970076e+00
7.600000000000000000e+01;4.524976410322690754e-03;1.605819332995451987e+00
7.700000000000000000e+01;4.533507443478631410e-03;1.615124458010541275e+00
7.800000000000000000e+01;4.487898775428791204e-03;1.624779582984047011e+00
7.900000000000000000e+01;4.401106049993904097e-03;1.633825708006042987e+00
8.000000000000000000e+01;4.295344312280784116e-03;1.643171083007473499e+00
8.100000000000000000e+01;4.193820978810320135e-03;1.652545749995624647e+00
8.200000000000000000e+01;4.114030932729662894e-03;1.661870624986477196e+00
8.300000000000000000e+01;4.064125664665726133e-03;1.671306250005727634e+00
8.400000000000000000e+01;4.042672801247814383e-03;1.680253124999580905e+00
8.500000000000000000e+01;4.041114017321425708e-03;1.689877291006268933e+00
8.600000000000000000e+01;4.047643668571528075e-03;1.699361208011396229e+00
8.700000000000000000e+01;4.051129504631383223e-03;1.708472958009224385e+00
8.800000000000000000e+01;4.043995262606221372e-03;1.717848333006259054e+00
8.900000000000000000e+01;4.023509304577982393e-03;1.727249290997860953e+00
9.000000000000000000e+01;3.991479748191487098e-03;1.737075832992559299e+00
9.100000000000000000e+01;3.952787104875558032e-03;1.746345416002441198e+00
9.200000000000000000e+01;3.913402900587716234e-03;1.755777457990916446e+00
9.300000000000000000e+01;3.878537216652529727e-03;1.765712374995928258e+00
9.400000000000000000e+01;3.851381828256484740e-03;1.775623666006140411e+00
9.500000000000000000e+01;3.832654547748336280e-03;1.786519874993246049e+00
9.600000000000000000e+01;3.820893189904948223e-03;1.796214790985686705e+00
9.700000000000000000e+01;3.813261462249218151e-03;1.806153165991418064e+00
9.800000000000000000e+01;3.806546965240306581e-03;1.815661915985401720e+00
9.900000000000000000e+01;3.798051323629780297e-03;1.825036124995676801e+00
1.000000000000000000e+02;3.786165940160890302e-03;1.834377499995753169e+00
1.010000000000000000e+02;3.770552911526818800e-03;1.845826665987260640e+00
1.020000000000000000e+02;3.751969205191367767e-03;1.855448832997353747e+00
1.030000000000000000e+02;3.731854423610815423e-03;1.866302790993358940e+00
1.040000000000000000e+02;3.711835643159673223e-03;1.876765875000273809e+00
1.050000000000000000e+02;3.693289765622999234e-03;1.887932624988025054e+00
1.060000000000000000e+02;3.677058545199288903e-03;1.897993416001554579e+00
1.070000000000000000e+02;3.663352796213013417e-03;1.907724541000789031e+00
