Id;Marker;Active;Origin;End
0;0;1;1;3
1;0;1;3;4
2;0;1;2;4
3;8;1;0;2
4;5;1;0;1
5;5;1;1;6
6;0;1;6;7
7;0;1;5;7
8;0;1;3;5
9;0;1;4;8
10;0;1;8;9
11;0;1;9;10
12;8;1;2;10
13;0;1;11;13
14;0;1;13;14
15;0;1;12;14
16;0;1;5;12
17;0;1;7;11
18;0;1;15;16
19;0;1;9;16
20;0;1;8;12
21;0;1;14;15
22;0;1;17;18
23;0;1;11;18
24;5;1;6;17
25;0;1;19;20
26;0;1;20;21
27;0;1;18;21
28;5;1;17;19
29;0;1;21;23
30;0;1;22;23
31;0;1;13;22
32;0;1;24;25
33;0;1;25;26
34;0;1;20;26
35;5;1;19;24
36;0;1;27;28
37;0;1;28;29
38;0;1;25;29
39;5;1;24;27
40;0;1;26;30
41;0;1;30;31
42;0;1;23;31
43;0;1;32;33
44;0;1;30;33
45;0;1;29;32
46;0;1;28;34
47;5;1;27;35
48;0;1;35;36
49;0;1;34;36
50;0;1;34;37
51;0;1;37;38
52;0;1;32;38
53;0;1;36;39
54;0;1;39;41
55;0;1;40;41
56;0;1;37;40
57;0;1;42;43
58;0;1;39;43
59;5;1;35;42
60;0;1;44;45
61;0;1;45;46
62;0;1;43;46
63;5;1;42;44
64;0;1;46;48
65;0;1;47;48
66;0;1;41;47
67;6;1;50;51
68;0;1;51;52
69;0;1;52;53
70;0;1;49;53
71;5;1;49;50
72;0;1;53;54
73;0;1;45;54
74;5;1;44;49
75;6;1;51;56
76;0;1;56;57
77;0;1;55;57
78;0;1;52;55
79;0;1;54;59
80;0;1;58;59
81;0;1;48;58
82;0;1;60;61
83;0;1;58;61
84;0;1;55;59
85;0;1;57;60
86;0;1;63;65
87;0;1;65;66
88;0;1;64;66
89;8;1;62;64
90;0;1;62;63
91;8;1;10;62
92;0;1;16;63
93;0;1;15;67
94;0;1;67;68
95;0;1;65;68
96;0;1;31;71
97;0;1;70;71
98;0;1;69;70
99;0;1;22;69
100;0;1;68;72
101;0;1;67;73
102;0;1;73;75
103;0;1;74;75
104;0;1;72;74
105;0;1;69;73
106;0;1;70;76
107;0;1;75;76
108;0;1;77;78
109;0;1;71;78
110;0;1;33;77
111;0;1;38;79
112;0;1;79;80
113;0;1;77;80
114;0;1;78;81
115;0;1;81;82
116;0;1;76;82
117;0;1;80;83
118;0;1;83;84
119;0;1;81;84
120;0;1;40;86
121;0;1;85;86
122;0;1;79;85
123;0;1;85;87
124;0;1;87;88
125;0;1;83;88
126;0;1;89;91
127;0;1;90;91
128;0;1;90;92
129;0;1;87;92
130;0;1;86;89
131;0;1;89;93
132;0;1;47;93
133;0;1;95;96
134;0;1;96;99
135;0;1;94;99
136;0;1;94;97
137;0;1;97;98
138;0;1;95;98
139;0;1;61;97
140;0;1;93;94
141;0;1;91;99
142;6;1;56;101
143;0;1;100;101
144;0;1;60;100
145;6;1;101;102
146;0;1;102;103
147;0;1;103;104
148;0;1;100;104
149;0;1;98;104
150;0;1;105;107
151;0;1;106;107
152;8;1;64;106
153;0;1;66;105
154;0;1;108;111
155;0;1;109;111
156;0;1;107;109
157;0;1;105;110
158;0;1;108;110
159;0;1;72;110
160;0;1;112;115
161;0;1;113;115
162;0;1;113;114
163;0;1;111;114
164;0;1;108;112
165;0;1;74;116
166;0;1;112;116
167;0;1;116;117
168;0;1;117;118
169;0;1;118;119
170;0;1;115;119
171;0;1;82;120
172;0;1;117;120
173;0;1;84;121
174;0;1;88;123
175;0;1;122;123
176;0;1;121;122
177;0;1;121;124
178;0;1;120;124
179;0;1;125;127
180;0;1;126;127
181;0;1;124;126
182;0;1;122;125
183;0;1;118;126
184;0;1;129;131
185;0;1;131;133
186;0;1;130;133
187;0;1;130;132
188;0;1;128;132
189;0;1;128;129
190;0;1;128;134
191;0;1;92;134
192;0;1;90;135
193;0;1;129;135
194;0;1;125;136
195;0;1;123;134
196;0;1;132;136
197;0;1;95;140
198;0;1;137;140
199;0;1;137;138
200;0;1;138;139
201;0;1;96;139
202;0;1;141;143
203;0;1;143;144
204;0;1;138;144
205;0;1;137;142
206;0;1;141;142
207;0;1;135;139
208;0;1;131;144
209;6;1;102;145
210;0;1;145;146
211;0;1;146;147
212;0;1;103;147
213;6;1;145;148
214;0;1;148;149
215;0;1;149;150
216;0;1;146;150
217;0;1;140;147
218;0;1;142;150
219;0;1;152;155
220;8;1;151;155
221;0;1;151;153
222;0;1;153;154
223;0;1;152;154
224;8;1;106;151
225;0;1;109;153
226;0;1;156;158
227;0;1;152;158
228;0;1;154;159
229;0;1;157;159
230;0;1;156;157
231;0;1;114;159
232;0;1;160;161
233;0;1;157;161
234;0;1;113;160
235;0;1;161;162
236;0;1;160;165
237;0;1;165;166
238;0;1;163;166
239;0;1;163;164
240;0;1;162;164
241;0;1;119;167
242;0;1;165;167
243;0;1;168;169
244;0;1;168;170
245;0;1;170;171
246;0;1;171;173
247;0;1;172;173
248;0;1;169;172
249;0;1;127;175
250;0;1;174;175
251;0;1;167;174
252;0;1;169;177
253;0;1;163;177
254;0;1;166;176
255;0;1;168;176
256;0;1;174;176
257;0;1;175;178
258;0;1;170;178
259;0;1;136;178
260;0;1;173;180
261;0;1;171;179
262;0;1;179;181
263;0;1;181;182
264;0;1;180;182
265;0;1;130;179
266;0;1;181;183
267;0;1;133;183
268;0;1;184;186
269;0;1;143;186
270;0;1;141;185
271;0;1;185;187
272;0;1;184;187
273;0;1;183;186
274;0;1;184;189
275;0;1;188;189
276;0;1;182;188
277;0;1;191;192
278;0;1;190;192
279;0;1;149;190
280;6;1;148;191
281;0;1;185;190
282;0;1;193;194
283;0;1;187;194
284;0;1;192;193
285;0;1;196;198
286;0;1;198;199
287;0;1;197;199
288;8;1;195;197
289;0;1;195;196
290;8;1;155;195
291;0;1;158;196
292;0;1;156;200
293;0;1;200;201
294;0;1;198;201
295;0;1;203;204
296;0;1;204;205
297;0;1;202;205
298;0;1;202;206
299;0;1;206;207
300;0;1;203;207
301;0;1;162;208
302;0;1;200;208
303;0;1;201;209
304;0;1;202;208
305;0;1;205;210
306;0;1;209;210
307;0;1;164;206
308;0;1;203;211
309;0;1;207;212
310;0;1;212;213
311;0;1;213;214
312;0;1;211;214
313;0;1;172;215
314;0;1;213;215
315;0;1;177;212
316;0;1;217;220
317;0;1;218;220
318;0;1;218;219
319;0;1;219;221
320;0;1;216;221
321;0;1;216;217
322;0;1;217;222
323;0;1;214;222
324;0;1;215;220
325;0;1;180;218
326;0;1;188;223
327;0;1;219;223
328;0;1;189;224
329;0;1;194;225
330;0;1;224;225
331;0;1;226;227
332;0;1;227;228
333;0;1;221;228
334;0;1;223;226
335;0;1;224;226
336;0;1;225;230
337;0;1;230;231
338;0;1;229;231
339;0;1;227;229
340;6;1;191;233
341;0;1;232;233
342;0;1;193;232
343;6;1;233;234
344;0;1;234;235
345;0;1;235;236
346;0;1;232;236
347;0;1;230;236
348;8;1;237;238
349;0;1;237;240
350;0;1;240;241
351;0;1;239;241
352;7;1;238;239
353;0;1;240;242
354;8;1;197;237
355;0;1;199;242
356;0;1;241;243
357;0;1;243;244
358;0;1;244;245
359;7;1;239;245
360;0;1;244;247
361;0;1;243;246
362;0;1;209;246
363;0;1;210;247
364;0;1;242;246
365;0;1;248;249
366;0;1;248;251
367;0;1;251;252
368;0;1;250;252
369;7;1;249;250
370;7;1;245;249
371;0;1;247;248
372;0;1;204;251
373;0;1;252;253
374;0;1;253;254
375;0;1;254;255
376;7;1;250;255
377;0;1;254;256
378;0;1;211;253
379;0;1;222;256
380;7;1;257;258
381;0;1;258;261
382;0;1;259;261
383;0;1;259;260
384;0;1;257;260
385;7;1;255;258
386;0;1;256;261
387;0;1;216;259
