Id;Marker;Active;X;Y;Z
0;1;1;0.0000000000000000e+00;0.0000000000000000e+00;0.0000000000000000e+00
1;5;1;6.2543750000000009e-02;0.0000000000000000e+00;0.0000000000000000e+00
2;8;1;0.0000000000000000e+00;6.2543750000000009e-02;0.0000000000000000e+00
3;0;1;6.2543750000000009e-02;2.2060439737478763e-02;0.0000000000000000e+00
4;0;1;2.2060439737478694e-02;6.2543750000000009e-02;0.0000000000000000e+00
5;5;1;1.8753125000000004e-01;0.0000000000000000e+00;0.0000000000000000e+00
6;0;1;1.8753125000000004e-01;3.1019221225701589e-02;0.0000000000000000e+00
7;0;1;1.4019009450642350e-01;5.9258371167499081e-02;0.0000000000000000e+00
8;8;1;6.7762635780344027e-21;1.8753125000000009e-01;0.0000000000000000e+00
9;0;1;5.9227748737469464e-02;1.4012617375437397e-01;0.0000000000000000e+00
10;0;1;2.8995764408685541e-02;1.8753125000000009e-01;0.0000000000000000e+00
11;0;1;1.2862900283187872e-01;1.3114393756974041e-01;0.0000000000000000e+00
12;0;1;2.4682825182877227e-01;6.9266859019638069e-02;0.0000000000000000e+00
13;5;1;3.1251874999999996e-01;6.7762635780344027e-21;0.0000000000000000e+00
14;0;1;3.1251874999999996e-01;3.9918559383823222e-02;0.0000000000000000e+00
15;0;1;2.3763649809289777e-01;1.5520576470512618e-01;0.0000000000000000e+00
16;0;1;1.7350962002301501e-01;1.7629644275857975e-01;0.0000000000000000e+00
17;0;1;3.6741126411544295e-01;7.6100091105936046e-02;0.0000000000000000e+00
18;0;1;2.9190319173119117e-01;1.8893573638351568e-01;0.0000000000000000e+00
19;0;1;3.7041627652685982e-01;1.3939084848857464e-01;0.0000000000000000e+00
20;5;1;4.3750624999999999e-01;6.7762635780344027e-21;0.0000000000000000e+00
21;0;1;4.3750624999999999e-01;3.4974298848892735e-02;0.0000000000000000e+00
22;0;1;4.9999999999999989e-01;7.1640330626064730e-02;0.0000000000000000e+00
23;0;1;4.9999999999999989e-01;1.4148892832385029e-01;0.0000000000000000e+00
24;0;1;4.3187309789745121e-01;1.8146001595057043e-01;0.0000000000000000e+00
25;5;1;5.6249375000000001e-01;-6.7762635780344027e-21;0.0000000000000000e+00
26;0;1;5.6249375000000001e-01;3.4974298848892811e-02;0.0000000000000000e+00
27;5;1;6.8748124999999993e-01;0.0000000000000000e+00;0.0000000000000000e+00
28;0;1;6.8748124999999993e-01;3.8768947256930482e-02;0.0000000000000000e+00
29;0;1;6.3158996449353577e-01;7.5514096769521449e-02;0.0000000000000000e+00
30;0;1;5.6738288277212312e-01;1.8102348851523142e-01;0.0000000000000000e+00
31;0;1;6.2930861240854652e-01;1.3837567555857774e-01;0.0000000000000000e+00
32;0;1;7.5108019296848838e-01;6.8285982346971488e-02;0.0000000000000000e+00
33;0;1;8.1246874999999996e-01;2.8995764408685457e-02;0.0000000000000000e+00
34;5;1;8.1246874999999996e-01;6.7762635780344027e-21;0.0000000000000000e+00
35;0;1;7.6127708033584063e-01;1.5385345260226757e-01;0.0000000000000000e+00
36;0;1;7.0749856274564749e-01;1.8735584929735644e-01;0.0000000000000000e+00
37;0;1;8.2424720828220177e-01;1.7355709835915922e-01;0.0000000000000000e+00
38;0;1;8.6903171975899984e-01;1.2998621930390886e-01;0.0000000000000000e+00
39;0;1;8.5987382624562614e-01;5.9227748737469478e-02;0.0000000000000000e+00
40;5;1;9.3745624999999999e-01;0.0000000000000000e+00;0.0000000000000000e+00
41;2;1;1.0000000000000000e+00;0.0000000000000000e+00;0.0000000000000000e+00
42;6;1;1.0000000000000000e+00;6.2543750000000009e-02;0.0000000000000000e+00
43;0;1;9.7793956026252127e-01;6.2543750000000009e-02;0.0000000000000000e+00
44;0;1;9.3745624999999999e-01;2.2060439737478777e-02;0.0000000000000000e+00
45;6;1;1.0000000000000000e+00;1.8753125000000004e-01;0.0000000000000000e+00
46;0;1;9.6922552113491056e-01;1.8753125000000004e-01;0.0000000000000000e+00
47;0;1;9.4035613960777442e-01;1.4099475831422009e-01;0.0000000000000000e+00
48;0;1;7.0620035544045612e-02;2.5256662207408087e-01;0.0000000000000000e+00
49;0;1;4.1731755976184594e-02;3.1251875000000012e-01;0.0000000000000000e+00
50;8;1;0.0000000000000000e+00;3.1251875000000012e-01;0.0000000000000000e+00
51;0;1;1.5261255545593361e-01;2.3964547593587385e-01;0.0000000000000000e+00
52;0;1;7.5131718933699368e-02;3.6906176201514723e-01;0.0000000000000000e+00
53;0;1;1.5051779010940300e-01;3.7481218273590833e-01;0.0000000000000000e+00
54;0;1;1.9460712080242795e-01;3.0109118257790479e-01;0.0000000000000000e+00
55;0;1;2.9876821319286861e-01;2.4592869002038817e-01;0.0000000000000000e+00
56;0;1;2.4977403626629982e-01;3.0134221772234177e-01;0.0000000000000000e+00
57;0;1;3.8065769210455186e-01;2.7929587474090556e-01;0.0000000000000000e+00
58;0;1;3.7745172046292774e-01;3.6609156916546998e-01;0.0000000000000000e+00
59;0;1;3.0080520312868758e-01;3.8627176212718717e-01;0.0000000000000000e+00
60;0;1;4.3221167071724687e-01;2.4419277298353462e-01;0.0000000000000000e+00
61;0;1;4.2592145300681000e-01;3.9868196256077881e-01;0.0000000000000000e+00
62;0;1;5.0226561854511120e-01;3.3985865933658854e-01;0.0000000000000000e+00
63;0;1;5.0119199283566496e-01;2.8630529068746013e-01;0.0000000000000000e+00
64;0;1;5.6780740810859465e-01;2.4223828995053942e-01;0.0000000000000000e+00
65;0;1;7.0073644792460110e-01;2.4172029452004620e-01;0.0000000000000000e+00
66;0;1;6.2275134227765705e-01;2.7771304927928814e-01;0.0000000000000000e+00
67;0;1;5.8280042587867154e-01;3.9347824634066142e-01;0.0000000000000000e+00
68;0;1;6.2656417967417233e-01;3.5918873772479754e-01;0.0000000000000000e+00
69;0;1;7.5356546758074439e-01;3.0044016815273994e-01;0.0000000000000000e+00
70;0;1;8.0797366755580180e-01;2.9722703529335753e-01;0.0000000000000000e+00
71;0;1;8.4592500226756662e-01;2.3997668842661835e-01;0.0000000000000000e+00
72;0;1;7.0801603186083817e-01;3.7771058773250865e-01;0.0000000000000000e+00
73;0;1;9.2986896439798017e-01;2.5050127906269182e-01;0.0000000000000000e+00
74;6;1;1.0000000000000000e+00;3.1251874999999996e-01;0.0000000000000000e+00
75;0;1;9.5911659044964770e-01;3.1251874999999996e-01;0.0000000000000000e+00
76;0;1;9.2461218477249341e-01;3.6862527033646270e-01;0.0000000000000000e+00
77;0;1;8.5480433180604276e-01;3.7308585089187141e-01;0.0000000000000000e+00
78;0;1;3.4974298848892742e-02;4.3750625000000015e-01;0.0000000000000000e+00
79;8;1;6.7762635780344027e-21;4.3750625000000015e-01;0.0000000000000000e+00
80;0;1;7.1640330626064744e-02;5.0000000000000022e-01;0.0000000000000000e+00
81;0;1;1.4901552343752930e-01;5.0000000000000022e-01;0.0000000000000000e+00
82;0;1;1.8390054917149809e-01;4.3643155336250655e-01;0.0000000000000000e+00
83;0;1;2.7433264559944798e-01;4.3817781793517618e-01;0.0000000000000000e+00
84;0;1;3.7718023567953757e-01;5.1091866655115414e-01;0.0000000000000000e+00
85;0;1;4.3538291721823957e-01;4.4954482637921728e-01;0.0000000000000000e+00
86;0;1;3.0416906497751595e-01;4.9874894613204684e-01;0.0000000000000000e+00
87;0;1;5.7930914509673326e-01;4.2502630169065603e-01;0.0000000000000000e+00
88;0;1;7.3360668163985943e-01;4.3389017719633416e-01;0.0000000000000000e+00
89;0;1;6.9532652452432575e-01;4.9705842540942086e-01;0.0000000000000000e+00
90;0;1;6.4775506542075778e-01;4.9981868498135185e-01;0.0000000000000000e+00
91;0;1;5.9619695697569419e-01;5.6348393450983769e-01;0.0000000000000000e+00
92;0;1;5.1609161065431708e-01;5.2904478125565824e-01;0.0000000000000000e+00
93;0;1;5.0489543852054664e-01;4.8128232624667999e-01;0.0000000000000000e+00
94;0;1;8.1717464412651797e-01;4.3566876226063417e-01;0.0000000000000000e+00
95;0;1;9.6502570115110731e-01;4.3750624999999999e-01;0.0000000000000000e+00
96;6;1;1.0000000000000000e+00;4.3750624999999999e-01;0.0000000000000000e+00
97;0;1;9.2835966937393521e-01;4.9999999999999994e-01;0.0000000000000000e+00
98;0;1;8.5198457988170739e-01;4.9999999999999994e-01;0.0000000000000000e+00
99;8;1;0.0000000000000000e+00;5.6249375000000001e-01;0.0000000000000000e+00
100;0;1;3.4974298848892700e-02;5.6249375000000001e-01;0.0000000000000000e+00
101;8;1;0.0000000000000000e+00;6.8748125000000004e-01;0.0000000000000000e+00
102;0;1;7.5704325190586064e-02;6.3191419067271903e-01;0.0000000000000000e+00
103;0;1;4.0306409109938296e-02;6.8748125000000004e-01;0.0000000000000000e+00
104;0;1;1.8366220162018015e-01;5.6783577592134082e-01;0.0000000000000000e+00
105;0;1;1.4395986717668913e-01;6.2817738108840204e-01;0.0000000000000000e+00
106;0;1;2.5705563830124156e-01;5.7081471520034266e-01;0.0000000000000000e+00
107;0;1;1.8922461136176244e-01;7.0614868047586477e-01;0.0000000000000000e+00
108;0;1;2.8652992933993365e-01;6.2371602728023690e-01;0.0000000000000000e+00
109;0;1;2.4800944211887452e-01;7.0138385035333373e-01;0.0000000000000000e+00
110;0;1;4.0787220480798797e-01;5.9284803299856181e-01;0.0000000000000000e+00
111;0;1;3.7179939463286810e-01;6.3571105534169203e-01;0.0000000000000000e+00
112;0;1;4.6488011798913287e-01;5.9762257553095155e-01;0.0000000000000000e+00
113;0;1;3.8492487828994754e-01;7.0964440082272273e-01;0.0000000000000000e+00
114;0;1;5.0300447475661414e-01;7.0690288823825531e-01;0.0000000000000000e+00
115;0;1;4.3512893449905654e-01;7.4214861562531720e-01;0.0000000000000000e+00
116;0;1;5.1035670778016440e-01;6.5710918725169754e-01;0.0000000000000000e+00
117;0;1;7.4082228999213506e-01;5.6954273759026885e-01;0.0000000000000000e+00
118;0;1;6.0386994964125296e-01;6.1560187433587410e-01;0.0000000000000000e+00
119;0;1;6.3496079227988467e-01;6.3995449448821096e-01;0.0000000000000000e+00
120;0;1;7.1099717067614188e-01;6.2507939718872574e-01;0.0000000000000000e+00
121;0;1;8.1636561482927539e-01;5.6691487542055696e-01;0.0000000000000000e+00
122;0;1;7.5691847465753326e-01;7.0269206528307293e-01;0.0000000000000000e+00
123;0;1;8.1091158225746363e-01;7.0642793464837128e-01;0.0000000000000000e+00
124;0;1;8.5684057474652342e-01;6.2852748287915450e-01;0.0000000000000000e+00
125;0;1;9.6502570115110731e-01;5.6249375000000001e-01;0.0000000000000000e+00
126;6;1;1.0000000000000000e+00;5.6249375000000001e-01;0.0000000000000000e+00
127;6;1;1.0000000000000000e+00;6.8748124999999993e-01;0.0000000000000000e+00
128;0;1;9.6013946969801678e-01;6.8748124999999993e-01;0.0000000000000000e+00
129;0;1;9.2433253351185474e-01;6.3185136853397039e-01;0.0000000000000000e+00
130;0;1;6.9036725139570071e-02;7.4990720337571437e-01;0.0000000000000000e+00
