Id;Marker;Active;X;Y;Z
0;1;1;0.0000000000000000e+00;0.0000000000000000e+00;0.0000000000000000e+00
1;5;1;2.5047500000000000e-02;0.0000000000000000e+00;0.0000000000000000e+00
2;8;1;0.0000000000000000e+00;2.5047499999999914e-02;0.0000000000000000e+00
3;0;1;2.5047500000000000e-02;8.1173420407789753e-03;0.0000000000000000e+00
4;0;1;7.9270798305227045e-03;2.5047499999999914e-02;0.0000000000000000e+00
5;5;1;7.5042499999999998e-02;-6.7762635780344027e-21;0.0000000000000000e+00
6;0;1;7.5042499999999998e-02;1.2292176544168450e-02;0.0000000000000000e+00
7;0;1;5.5668881352539057e-02;2.4012956229519399e-02;0.0000000000000000e+00
8;5;1;1.2503749999999991e-01;6.7762635780344027e-21;0.0000000000000000e+00
9;0;1;1.2503749999999991e-01;1.5761204031468818e-02;0.0000000000000000e+00
10;0;1;9.9107010092704687e-02;2.7761471236149735e-02;0.0000000000000000e+00
11;5;1;1.7503249999999984e-01;6.7762635780344027e-21;0.0000000000000000e+00
12;0;1;1.7503249999999984e-01;1.4675056994808229e-02;0.0000000000000000e+00
13;0;1;1.4683851612250354e-01;2.9927686670004401e-02;0.0000000000000000e+00
14;0;1;1.6122355530411310e-02;1.2503749999999975e-01;0.0000000000000000e+00
15;8;1;0.0000000000000000e+00;1.7503249999999970e-01;0.0000000000000000e+00
16;8;1;0.0000000000000000e+00;1.2503749999999972e-01;0.0000000000000000e+00
17;0;1;2.9975451616399033e-02;1.4804662914096722e-01;0.0000000000000000e+00
18;0;1;1.5558877910300528e-02;1.7503249999999970e-01;0.0000000000000000e+00
19;0;1;1.1714118614987430e-02;7.5042499999999804e-02;0.0000000000000000e+00
20;0;1;2.7842483532479860e-02;1.0122933364426517e-01;0.0000000000000000e+00
21;8;1;6.7762635780344027e-21;7.5042499999999790e-02;0.0000000000000000e+00
22;0;1;2.4012493974325356e-02;5.6360512368358706e-02;0.0000000000000000e+00
23;0;1;6.9190432772335733e-02;7.0136468116449496e-02;0.0000000000000000e+00
24;0;1;5.0953471590052687e-02;5.2287273622055139e-02;0.0000000000000000e+00
25;0;1;9.5533855346695368e-02;6.1920502807832956e-02;0.0000000000000000e+00
26;0;1;1.1694854454476258e-01;7.5780364438173820e-02;0.0000000000000000e+00
27;0;1;1.4754860738441949e-01;5.6984660688936428e-02;0.0000000000000000e+00
28;0;1;6.0860290279444937e-02;9.6665745859643090e-02;0.0000000000000000e+00
29;0;1;5.9433084830312385e-02;1.4849027697067288e-01;0.0000000000000000e+00
30;0;1;7.6651823801904398e-02;1.1974683949017495e-01;0.0000000000000000e+00
31;0;1;1.7222376605054332e-01;1.0104031223584702e-01;0.0000000000000000e+00
32;0;1;1.1926097041785649e-01;9.8379907979696146e-02;0.0000000000000000e+00
33;0;1;1.7250808464430831e-01;7.3037842384719998e-02;0.0000000000000000e+00
34;0;1;1.5193309624856768e-01;1.1331554308942879e-01;0.0000000000000000e+00
35;0;1;9.8722297980268284e-02;1.2039712858052362e-01;0.0000000000000000e+00
36;0;1;1.0709921712247882e-01;1.7299965152191424e-01;0.0000000000000000e+00
37;0;1;7.4419760394552073e-02;1.7403932714233747e-01;0.0000000000000000e+00
38;0;1;1.1702673676472027e-01;1.5329961788382404e-01;0.0000000000000000e+00
39;0;1;1.4880990924268472e-01;1.4634358295340594e-01;0.0000000000000000e+00
40;5;1;2.2502749999999971e-01;-6.7762635780344027e-21;0.0000000000000000e+00
41;0;1;2.2502749999999971e-01;1.4483468043058379e-02;0.0000000000000000e+00
42;0;1;1.9924235320215095e-01;2.9369933969701511e-02;0.0000000000000000e+00
43;5;1;2.7502249999999984e-01;0.0000000000000000e+00;0.0000000000000000e+00
44;0;1;2.7502249999999984e-01;1.4483468043058327e-02;0.0000000000000000e+00
45;0;1;2.5002499999999978e-01;2.8915204069952179e-02;0.0000000000000000e+00
46;0;1;3.0001999999999968e-01;2.8915204069952245e-02;0.0000000000000000e+00
47;5;1;3.2501749999999968e-01;-6.7762635780344027e-21;0.0000000000000000e+00
48;0;1;3.2501749999999968e-01;1.4483468043058364e-02;0.0000000000000000e+00
49;0;1;1.9938024604032442e-01;5.7491568286737502e-02;0.0000000000000000e+00
50;0;1;2.2426400139930483e-01;7.2654664672296976e-02;0.0000000000000000e+00
51;0;1;2.5002499999999972e-01;5.7782140156068917e-02;0.0000000000000000e+00
52;0;1;3.0001999999999968e-01;5.7782140156068862e-02;0.0000000000000000e+00
53;0;1;2.7502249999999973e-01;7.2213876182962738e-02;0.0000000000000000e+00
54;0;1;3.5001499999999963e-01;2.8915204069952200e-02;0.0000000000000000e+00
55;0;1;3.2501749999999963e-01;7.2213876182962766e-02;0.0000000000000000e+00
56;0;1;3.5001499999999963e-01;5.7782140156068931e-02;0.0000000000000000e+00
57;0;1;1.9822048991996444e-01;1.1592915660919587e-01;0.0000000000000000e+00
58;0;1;2.2432954043103778e-01;1.0046334118770169e-01;0.0000000000000000e+00
59;0;1;2.7502249999999973e-01;1.0090894501033733e-01;0.0000000000000000e+00
60;0;1;2.4915254864964589e-01;1.1551346488565331e-01;0.0000000000000000e+00
61;0;1;2.9974218496800187e-01;1.1567293846323386e-01;0.0000000000000000e+00
62;0;1;3.2501749999999963e-01;1.0108081226907947e-01;0.0000000000000000e+00
63;0;1;1.6546226630963051e-01;1.6036771868322897e-01;0.0000000000000000e+00
64;0;1;1.9892061879775824e-01;1.4222480151575753e-01;0.0000000000000000e+00
65;0;1;2.2169063262130112e-01;1.5899078929325416e-01;0.0000000000000000e+00
66;0;1;2.4912732226710310e-01;1.4394106881712124e-01;0.0000000000000000e+00
67;0;1;2.7324008605479899e-01;1.5882668681936674e-01;0.0000000000000000e+00
68;0;1;2.9959693407565818e-01;1.4335394863598003e-01;0.0000000000000000e+00
69;0;1;3.5001499999999958e-01;1.4437948438209003e-01;0.0000000000000000e+00
70;0;1;3.5001499999999963e-01;1.1551254829597338e-01;0.0000000000000000e+00
71;0;1;3.2492893412944579e-01;1.5886235189272530e-01;0.0000000000000000e+00
72;5;1;3.7501249999999975e-01;6.7762635780344027e-21;0.0000000000000000e+00
73;0;1;3.7501249999999975e-01;1.4483468043058334e-02;0.0000000000000000e+00
74;5;1;4.2500749999999970e-01;0.0000000000000000e+00;0.0000000000000000e+00
75;0;1;4.2500749999999965e-01;1.4483468043058296e-02;0.0000000000000000e+00
76;0;1;4.0000999999999964e-01;2.8915204069952224e-02;0.0000000000000000e+00
77;5;1;4.7500249999999961e-01;-6.7762635780344027e-21;0.0000000000000000e+00
78;0;1;4.7500249999999966e-01;1.4483468043058351e-02;0.0000000000000000e+00
79;0;1;4.5000499999999966e-01;2.8915204069952197e-02;0.0000000000000000e+00
80;5;1;5.2499749999999967e-01;-6.7762635780344027e-21;0.0000000000000000e+00
81;0;1;5.2499749999999967e-01;1.4483468043058348e-02;0.0000000000000000e+00
82;0;1;4.9999999999999961e-01;2.8915204069952273e-02;0.0000000000000000e+00
83;0;1;4.0000999999999964e-01;5.7782140156068876e-02;0.0000000000000000e+00
84;0;1;3.7501249999999969e-01;7.2213876182962822e-02;0.0000000000000000e+00
