Id;Marker;Active;X;Y;Z
0;1;1;0.0000000000000000e+00;0.0000000000000000e+00;0.0000000000000000e+00
1;5;1;1.5199999999999990e-02;0.0000000000000000e+00;0.0000000000000000e+00
2;8;1;-6.7762635780344027e-21;1.5199999999999863e-02;0.0000000000000000e+00
3;0;1;1.5199999999999990e-02;5.5433233431071514e-03;0.0000000000000000e+00
4;0;1;5.5433233431073162e-03;1.5199999999999863e-02;0.0000000000000000e+00
5;5;1;4.5499999999999902e-02;0.0000000000000000e+00;0.0000000000000000e+00
6;0;1;3.4252394405569292e-02;1.4455784251471893e-02;0.0000000000000000e+00
7;0;1;4.5499999999999902e-02;7.1100837566729089e-03;0.0000000000000000e+00
8;5;1;7.5799999999999881e-02;0.0000000000000000e+00;0.0000000000000000e+00
9;0;1;7.5799999999999881e-02;1.0035479598550957e-02;0.0000000000000000e+00
10;0;1;6.1117925032912329e-02;1.6818438349593651e-02;0.0000000000000000e+00
11;5;1;1.0609999999999975e-01;6.7762635780344027e-21;0.0000000000000000e+00
12;0;1;1.0609999999999975e-01;9.3680824256190016e-03;0.0000000000000000e+00
13;0;1;8.9139004823308221e-02;1.8310654404208149e-02;0.0000000000000000e+00
14;5;1;1.3639999999999977e-01;-6.7762635780344027e-21;0.0000000000000000e+00
15;0;1;1.3639999999999977e-01;9.7334390360011985e-03;0.0000000000000000e+00
16;0;1;1.2036345033856498e-01;1.7805499220581993e-02;0.0000000000000000e+00
17;0;1;1.5038587306917581e-01;1.8036286819600289e-02;0.0000000000000000e+00
18;5;1;1.6669999999999974e-01;-6.7762635780344027e-21;0.0000000000000000e+00
19;0;1;1.6669999999999974e-01;8.9439089391553286e-03;0.0000000000000000e+00
20;8;1;6.7762635780344027e-21;1.6669999999999974e-01;0.0000000000000000e+00
21;0;1;1.7552956276571430e-02;1.5100075536707944e-01;0.0000000000000000e+00
22;8;1;6.7762635780344027e-21;1.3639999999999974e-01;0.0000000000000000e+00
23;0;1;8.6051965601462912e-03;1.3639999999999974e-01;0.0000000000000000e+00
24;0;1;8.6783620502286669e-03;1.6669999999999974e-01;0.0000000000000000e+00
25;0;1;8.8049455011940062e-03;1.0609999999999969e-01;0.0000000000000000e+00
26;8;1;0.0000000000000000e+00;1.0609999999999969e-01;0.0000000000000000e+00
27;0;1;1.7531983584195124e-02;1.2032573489441148e-01;0.0000000000000000e+00
28;8;1;6.7762635780344027e-21;7.5799999999999645e-02;0.0000000000000000e+00
29;0;1;9.9259171815546457e-03;7.5799999999999673e-02;0.0000000000000000e+00
30;0;1;1.8116628491867820e-02;8.8913738272750606e-02;0.0000000000000000e+00
31;0;1;1.7008654172834536e-02;6.0550020951881570e-02;0.0000000000000000e+00
32;0;1;7.4465282520687227e-03;4.5499999999999721e-02;0.0000000000000000e+00
33;8;1;-6.7762635780344027e-21;4.5499999999999693e-02;0.0000000000000000e+00
34;0;1;1.4410845326635275e-02;3.4156327322756433e-02;0.0000000000000000e+00
35;0;1;3.2129663413819551e-02;3.1550247181343215e-02;0.0000000000000000e+00
36;0;1;4.2797583663184306e-02;4.2293021915641056e-02;0.0000000000000000e+00
37;0;1;5.7950679067289665e-02;3.7594666777171479e-02;0.0000000000000000e+00
38;0;1;8.9654283554904277e-02;3.6203869428276067e-02;0.0000000000000000e+00
39;0;1;7.2104332221749626e-02;4.6675393178416666e-02;0.0000000000000000e+00
40;0;1;1.2001742896876529e-01;3.7069883327452514e-02;0.0000000000000000e+00
41;0;1;1.0458162836512361e-01;4.5035298272159768e-02;0.0000000000000000e+00
42;0;1;1.3462388497896088e-01;4.5446747651278797e-02;0.0000000000000000e+00
43;0;1;1.5103077954635313e-01;3.5298021017694518e-02;0.0000000000000000e+00
44;0;1;1.6600325488060974e-01;4.4104045489950880e-02;0.0000000000000000e+00
45;0;1;1.8173807884567364e-01;3.5015876287339216e-02;0.0000000000000000e+00
46;0;1;1.8155722492962095e-01;1.7678846877257015e-02;0.0000000000000000e+00
47;0;1;3.4609824896252576e-02;1.5093381914872336e-01;0.0000000000000000e+00
48;0;1;1.7560540700801458e-02;1.8156558987401436e-01;0.0000000000000000e+00
49;0;1;4.3675002588500891e-02;1.6655685198552905e-01;0.0000000000000000e+00
50;0;1;3.4781340905023536e-02;1.8153141980975171e-01;0.0000000000000000e+00
51;0;1;3.4434365026139377e-02;1.2048623232167292e-01;0.0000000000000000e+00
52;0;1;4.3554801528443585e-02;1.3584783756886060e-01;0.0000000000000000e+00
53;0;1;4.3869806106161258e-02;1.0461688815554651e-01;0.0000000000000000e+00
54;0;1;3.4676721883044992e-02;8.9750130473360362e-02;0.0000000000000000e+00
55;0;1;3.7549071371217824e-02;5.7962389014729727e-02;0.0000000000000000e+00
56;0;1;4.6254689997166941e-02;7.1623636705029498e-02;0.0000000000000000e+00
57;0;1;9.2110295855197005e-02;7.1439255327902074e-02;0.0000000000000000e+00
58;0;1;1.0413679397728107e-01;6.5546225322251545e-02;0.0000000000000000e+00
59;0;1;7.2734234738830450e-02;6.0143653352790122e-02;0.0000000000000000e+00
60;0;1;1.1871578863641677e-01;7.3286807052243469e-02;0.0000000000000000e+00
61;0;1;1.3561805219126860e-01;6.1206963439951620e-02;0.0000000000000000e+00
62;0;1;1.6615236891572285e-01;6.1225869155394644e-02;0.0000000000000000e+00
63;0;1;1.5160389637986305e-01;7.0195580803786822e-02;0.0000000000000000e+00
64;0;1;6.0888090534988823e-02;1.6646094233814962e-01;0.0000000000000000e+00
65;0;1;6.9657761723021600e-02;1.5047459458750001e-01;0.0000000000000000e+00
66;0;1;6.0127160027474161e-02;1.3565586025132309e-01;0.0000000000000000e+00
67;0;1;6.0322018118486108e-02;1.0483871338810745e-01;0.0000000000000000e+00
68;0;1;6.9140893183111327e-02;1.1964732152070472e-01;0.0000000000000000e+00
69;0;1;6.8217290443077061e-02;9.1787458153830950e-02;0.0000000000000000e+00
70;0;1;5.8816520161836368e-02;7.2968581731893578e-02;0.0000000000000000e+00
71;0;1;9.5929619949738990e-02;1.0079676775283955e-01;0.0000000000000000e+00
72;0;1;1.2113908899634662e-01;8.6787768577600177e-02;0.0000000000000000e+00
73;0;1;8.7540803424457553e-02;9.0153337789014354e-02;0.0000000000000000e+00
74;0;1;1.0795355792378031e-01;1.0145426295584502e-01;0.0000000000000000e+00
75;0;1;1.5146091509746515e-01;8.7663878811826967e-02;0.0000000000000000e+00
76;0;1;1.3946477454141853e-01;9.4760138738542068e-02;0.0000000000000000e+00
77;0;1;8.7047254376159774e-02;1.4994947058809063e-01;0.0000000000000000e+00
78;0;1;9.6365907408580892e-02;1.6459857425591309e-01;0.0000000000000000e+00
79;0;1;8.7137148888375315e-02;1.8093782013500223e-01;0.0000000000000000e+00
80;0;1;6.9993295421120566e-02;1.8112634075681902e-01;0.0000000000000000e+00
81;0;1;8.5336331260933318e-02;1.1989291348484769e-01;0.0000000000000000e+00
82;0;1;9.5111256686390311e-02;1.3420928438914009e-01;0.0000000000000000e+00
83;0;1;1.6685293081389527e-01;9.5997784174064640e-02;0.0000000000000000e+00
84;0;1;1.4895334185420700e-01;1.2319336190449602e-01;0.0000000000000000e+00
85;0;1;1.3818805403725243e-01;1.1532153573411454e-01;0.0000000000000000e+00
86;0;1;1.6701791094972546e-01;1.1327267163820184e-01;0.0000000000000000e+00
87;0;1;1.1265546802154887e-01;1.6466557607108648e-01;0.0000000000000000e+00
88;0;1;1.2333152189151303e-01;1.4762339219847523e-01;0.0000000000000000e+00
89;0;1;1.1413493031250078e-01;1.3249117213798067e-01;0.0000000000000000e+00
90;0;1;1.1957855913738555e-01;1.2024918416186803e-01;0.0000000000000000e+00
91;0;1;1.4967065772463925e-01;1.3638601175608053e-01;0.0000000000000000e+00
92;0;1;1.3693927677101819e-01;1.4869553317373463e-01;0.0000000000000000e+00
93;0;1;1.8138019721991122e-01;1.2233891347519792e-01;0.0000000000000000e+00
94;0;1;1.8027521949316591e-01;1.4039903452700964e-01;0.0000000000000000e+00
95;0;1;1.6855211487684921e-01;1.4621764539405763e-01;0.0000000000000000e+00
96;0;1;1.2252047421169657e-01;1.8076139279823317e-01;0.0000000000000000e+00
97;0;1;1.3981173321932475e-01;1.7999090107085824e-01;0.0000000000000000e+00
98;0;1;1.4649705559741338e-01;1.6819457312073269e-01;0.0000000000000000e+00
99;0;1;1.6495547276485925e-01;1.6542667957214777e-01;0.0000000000000000e+00
100;5;1;1.9699999999999973e-01;0.0000000000000000e+00;0.0000000000000000e+00
101;0;1;1.9699999999999973e-01;8.7275056771006776e-03;0.0000000000000000e+00
102;5;1;2.2729999999999961e-01;0.0000000000000000e+00;0.0000000000000000e+00
103;0;1;2.2729999999999961e-01;8.7275056771006984e-03;0.0000000000000000e+00
104;0;1;2.1214999999999978e-01;1.7509141009113618e-02;0.0000000000000000e+00
105;5;1;2.5759999999999961e-01;0.0000000000000000e+00;0.0000000000000000e+00
106;0;1;2.5759999999999961e-01;8.7275056771007123e-03;0.0000000000000000e+00
107;0;1;2.4244999999999972e-01;1.7509141009113643e-02;0.0000000000000000e+00
108;5;1;2.8789999999999960e-01;-6.7762635780344027e-21;0.0000000000000000e+00
109;0;1;2.8789999999999960e-01;8.7275056771006446e-03;0.0000000000000000e+00
110;0;1;2.7274999999999955e-01;1.7509141009113598e-02;0.0000000000000000e+00
111;0;1;3.0304999999999954e-01;1.7509141009113702e-02;0.0000000000000000e+00
112;5;1;3.1819999999999959e-01;6.7762635780344027e-21;0.0000000000000000e+00
113;0;1;3.1819999999999959e-01;8.7275056771006516e-03;0.0000000000000000e+00
114;0;1;2.1214999999999978e-01;3.4864152363315040e-02;0.0000000000000000e+00
115;0;1;1.9668058798240248e-01;4.3830933560621899e-02;0.0000000000000000e+00
116;0;1;2.4244999999999967e-01;3.4864152363314985e-02;0.0000000000000000e+00
117;0;1;2.2729999999999975e-01;4.3645787695327946e-02;0.0000000000000000e+00
118;0;1;2.5759999999999961e-01;4.3645787695327898e-02;0.0000000000000000e+00
119;0;1;2.7274999999999955e-01;3.4864152363315040e-02;0.0000000000000000e+00
120;0;1;3.0304999999999949e-01;3.4864152363314971e-02;0.0000000000000000e+00
121;0;1;2.8789999999999949e-01;4.3645787695327981e-02;0.0000000000000000e+00
122;0;1;3.3334999999999959e-01;3.4864152363315040e-02;0.0000000000000000e+00
123;0;1;3.1819999999999948e-01;4.3645787695328002e-02;0.0000000000000000e+00
124;0;1;3.3334999999999959e-01;1.7509141009113671e-02;0.0000000000000000e+00
125;0;1;1.9685893175385974e-01;6.0919029419527475e-02;0.0000000000000000e+00
126;0;1;1.8176547778609925e-01;7.0044577237063990e-02;0.0000000000000000e+00
127;0;1;2.2729999999999981e-01;6.1000799049529354e-02;0.0000000000000000e+00
128;0;1;2.1214999999999967e-01;6.9782434381542344e-02;0.0000000000000000e+00
129;0;1;2.5759999999999961e-01;6.1000799049529313e-02;0.0000000000000000e+00
130;0;1;2.4244999999999958e-01;6.9782434381542247e-02;0.0000000000000000e+00
131;0;1;2.7274999999999960e-01;6.9782434381542260e-02;0.0000000000000000e+00
132;0;1;2.8789999999999943e-01;6.1000799049529320e-02;0.0000000000000000e+00
133;0;1;3.0304999999999954e-01;6.9782434381542344e-02;0.0000000000000000e+00
134;0;1;3.1819999999999943e-01;6.1000799049529403e-02;0.0000000000000000e+00
135;0;1;1.8190767338824640e-01;8.7450777205466401e-02;0.0000000000000000e+00
136;0;1;2.1214999999999967e-01;8.7506909006620642e-02;0.0000000000000000e+00
137;0;1;1.9674533334050767e-01;9.6051879802543330e-02;0.0000000000000000e+00
138;0;1;2.4244999999999969e-01;8.7815140678604936e-02;0.0000000000000000e+00
139;0;1;2.2689228285034355e-01;9.6066094671127145e-02;0.0000000000000000e+00
140;0;1;2.5693743822119397e-01;9.6303132284020446e-02;0.0000000000000000e+00
141;0;1;2.7274999999999955e-01;8.7137445735743585e-02;0.0000000000000000e+00
142;0;1;3.0304999999999954e-01;8.7137445735743696e-02;0.0000000000000000e+00
