Id;Marker;Active;Origin;End
0;0;1;1;2
1;8;1;0;2
2;5;1;0;3
3;0;1;3;4
4;0;1;1;4
5;0;1;5;6
6;0;1;6;7
7;0;1;1;7
8;0;1;4;5
9;5;1;3;8
10;0;1;8;9
11;0;1;5;9
12;0;1;10;11
13;0;1;11;12
14;0;1;6;12
15;0;1;9;10
16;0;1;13;14
17;0;1;10;14
18;5;1;8;13
19;0;1;15;16
20;0;1;16;17
21;0;1;14;17
22;5;1;13;15
23;0;1;18;19
24;0;1;19;20
25;0;1;16;20
26;5;1;15;18
27;0;1;21;23
28;0;1;17;23
29;0;1;20;22
30;0;1;21;22
31;6;1;24;25
32;0;1;25;26
33;0;1;19;26
34;5;1;18;24
35;0;1;22;27
36;0;1;26;27
37;0;1;7;29
38;0;1;28;29
39;8;1;2;28
40;0;1;12;31
41;0;1;30;31
42;0;1;29;30
43;0;1;23;32
44;0;1;11;32
45;0;1;21;33
46;0;1;27;34
47;0;1;34;35
48;0;1;33;35
49;6;1;25;36
50;0;1;34;36
51;0;1;30;38
52;0;1;37;38
53;8;1;28;37
54;0;1;39;40
55;0;1;31;40
56;0;1;32;39
57;0;1;39;41
58;0;1;33;42
59;0;1;41;42
60;6;1;36;43
61;0;1;43;44
62;0;1;35;44
63;8;1;37;45
64;0;1;38;47
65;0;1;46;47
66;0;1;45;46
67;0;1;40;49
68;0;1;48;49
69;0;1;47;48
70;0;1;41;50
71;0;1;49;50
72;0;1;51;52
73;0;1;52;53
74;0;1;53;54
75;0;1;50;54
76;0;1;42;51
77;0;1;44;55
78;0;1;51;55
79;6;1;43;56
80;0;1;56;57
81;0;1;55;57
82;0;1;58;59
83;8;1;45;59
84;0;1;46;60
85;0;1;58;60
86;0;1;60;61
87;0;1;48;62
88;0;1;61;62
89;0;1;53;66
90;0;1;64;66
91;0;1;63;64
92;0;1;63;65
93;0;1;54;65
94;0;1;62;65
95;0;1;57;68
96;0;1;67;68
97;0;1;52;67
98;6;1;56;70
99;0;1;69;70
100;0;1;68;69
101;7;1;71;72
102;8;1;59;72
103;0;1;58;73
104;0;1;71;73
105;0;1;73;74
106;0;1;61;74
107;7;1;71;75
108;0;1;74;76
109;0;1;75;76
110;0;1;63;76
111;0;1;64;77
112;7;1;75;77
113;0;1;78;79
114;7;1;77;79
115;0;1;66;78
116;0;1;80;82
117;0;1;81;82
118;7;1;79;81
119;0;1;78;80
120;0;1;67;80
121;7;1;81;83
122;0;1;69;82
123;6;1;70;83
