Id;Marker;Active;NumVertices;Vertices;NumEdges;Edges
0;0;1;5;1;2;0;3;4;5;0;1;2;3;4
1;0;1;5;5;6;7;1;4;5;5;6;7;4;8
2;0;1;5;5;4;3;8;9;5;8;3;9;10;11
3;0;1;6;10;11;12;6;5;9;6;12;13;14;5;11;15
4;0;1;5;13;14;10;9;8;5;16;17;15;10;18
5;0;1;5;15;16;17;14;13;5;19;20;21;16;22
6;0;1;5;18;19;20;16;15;5;23;24;25;19;26
7;0;1;6;21;23;17;16;20;22;6;27;28;20;25;29;30
8;0;1;5;24;25;26;19;18;5;31;32;33;23;34
9;0;1;5;27;22;20;19;26;5;35;29;24;33;36
10;0;1;5;1;7;29;28;2;5;7;37;38;39;0
11;0;1;6;7;6;12;31;30;29;6;6;14;40;41;42;37
12;0;1;6;17;23;32;11;10;14;6;28;43;44;12;17;21
13;0;1;6;33;21;22;27;34;35;6;45;30;35;46;47;48
14;0;1;5;25;36;34;27;26;5;49;50;46;36;32
15;0;1;5;29;30;38;37;28;5;42;51;52;53;38
16;0;1;6;39;40;31;12;11;32;6;54;55;40;13;44;56
17;0;1;7;41;39;32;23;21;33;42;7;57;56;43;27;45;58;59
18;0;1;5;36;43;44;35;34;5;60;61;62;47;50
19;0;1;5;45;37;38;47;46;5;63;52;64;65;66
20;0;1;7;40;49;48;47;38;30;31;7;67;68;69;64;51;41;55
21;0;1;5;39;41;50;49;40;5;57;70;71;67;54
22;0;1;7;51;52;53;54;50;41;42;7;72;73;74;75;70;59;76
23;0;1;6;44;55;51;42;33;35;6;77;78;76;58;48;62
24;0;1;5;43;56;57;55;44;5;79;80;81;77;61
25;0;1;5;58;59;45;46;60;5;82;83;66;84;85
26;0;1;6;61;60;46;47;48;62;6;86;84;65;69;87;88
27;0;1;6;54;53;66;64;63;65;6;74;89;90;91;92;93
28;0;1;6;65;62;48;49;50;54;6;94;87;68;71;75;93
29;0;1;6;55;57;68;67;52;51;6;81;95;96;97;72;78
30;0;1;5;56;70;69;68;57;5;98;99;100;95;80
31;0;1;5;71;72;59;58;73;5;101;102;82;103;104
32;0;1;5;74;73;58;60;61;5;105;103;85;86;106
33;0;1;5;75;71;73;74;76;5;107;104;105;108;109
34;0;1;6;65;63;76;74;61;62;6;92;110;108;106;88;94
35;0;1;5;75;76;63;64;77;5;109;110;91;111;112
36;0;1;5;78;79;77;64;66;5;113;114;111;90;115
37;0;1;5;80;82;81;79;78;5;116;117;118;113;119
38;0;1;6;67;80;78;66;53;52;6;120;119;115;89;73;97
39;0;1;5;83;81;82;69;70;5;121;117;122;99;123
40;0;1;5;82;80;67;68;69;5;116;120;96;100;122
