Id;Marker;Active;Origin;End
0;5;1;0;1
1;5;1;1;2
2;5;1;2;3
3;5;1;3;4
4;0;1;5;6
5;0;1;6;7
6;0;1;7;8
7;0;1;8;9
8;0;1;10;11
9;0;1;11;12
10;0;1;12;13
11;0;1;13;14
12;0;1;15;16
13;0;1;16;17
14;0;1;17;18
15;0;1;18;19
16;7;1;20;21
17;7;1;21;22
18;7;1;22;23
19;7;1;23;24
20;8;1;0;5
21;0;1;1;6
22;0;1;2;7
23;0;1;3;8
24;6;1;4;9
25;8;1;5;10
26;0;1;6;11
27;0;1;7;12
28;0;1;8;13
29;6;1;9;14
30;8;1;10;15
31;0;1;11;16
32;0;1;12;17
33;0;1;13;18
34;6;1;14;19
35;8;1;15;20
36;0;1;16;21
37;0;1;17;22
38;0;1;18;23
39;6;1;19;24
40;0;1;0;25
41;0;1;25;6
42;0;1;1;26
43;0;1;26;7
44;0;1;2;27
45;0;1;27;8
46;0;1;3;28
47;0;1;28;9
48;0;1;5;29
49;0;1;29;11
50;0;1;6;30
51;0;1;30;12
52;0;1;7;31
53;0;1;31;13
54;0;1;8;32
55;0;1;32;14
56;0;1;10;33
57;0;1;33;16
58;0;1;11;34
59;0;1;34;17
60;0;1;12;35
61;0;1;35;18
62;0;1;13;36
63;0;1;36;19
64;0;1;15;37
65;0;1;37;21
66;0;1;16;38
67;0;1;38;22
68;0;1;17;39
69;0;1;39;23
70;0;1;18;40
71;0;1;40;24
