Id;Num2DNeighbours;2DNeighbours;Num3DNeighbours;3DNeighbours
0;2;1;0;0
1;2;0;4;0
2;2;0;4294967295;0
3;2;4294967295;0;0
4;2;2;1;0
5;2;7;1;0
6;2;1;4;0
7;2;4294967295;1;0
8;2;3;2;0
9;2;5;2;0
10;2;2;7;0
11;2;4294967295;2;0
12;2;4294967295;3;0
13;2;3;5;0
14;2;4294967295;3;0
15;2;7;4;0
16;2;4;6;0
17;2;4;4294967295;0
18;2;4294967295;5;0
19;2;5;8;0
20;2;5;7;0
21;2;6;4294967295;0
22;2;7;6;0
23;2;6;10;0
24;2;6;9;0
25;2;8;7;0
26;2;11;7;0
27;2;7;10;0
28;2;4294967295;8;0
29;2;12;8;0
30;2;8;11;0
31;2;10;9;0
32;2;9;4294967295;0
33;2;9;4294967295;0
34;2;11;10;0
35;2;10;4294967295;0
36;2;12;11;0
37;2;11;4294967295;0
38;2;4294967295;12;0
39;2;12;4294967295;0
