Id;Marker;Active;Origin;End
0;0;1;1;3
1;0;1;2;3
2;8;1;0;2
3;5;1;0;1
4;0;1;4;5
5;0;1;5;6
6;0;1;3;6
7;5;1;1;4
8;0;1;7;8
9;0;1;8;9
10;0;1;5;9
11;5;1;4;7
12;6;1;10;11
13;0;1;8;11
14;5;1;7;10
15;0;1;6;13
16;0;1;12;13
17;8;1;2;12
18;6;1;11;15
19;0;1;14;15
20;0;1;9;14
21;8;1;12;16
22;0;1;13;18
23;0;1;17;18
24;0;1;16;17
25;0;1;14;19
26;0;1;19;20
27;0;1;18;20
28;6;1;15;21
29;0;1;21;22
30;0;1;19;22
31;0;1;17;24
32;7;1;23;24
33;8;1;16;23
34;0;1;20;25
35;7;1;24;25
36;0;1;22;26
37;7;1;25;26
38;6;1;21;27
39;7;1;26;27
