2.000000000000000000e+03;0.000000000000000000e+00;9.999990000000000000e+05
0.000000000000000000e+00;6.704138687232835218e+05;2.452141620975453407e+00
1.000000000000000000e+00;1.541096373145298846e+07;2.508418306009843946e+00
2.000000000000000000e+00;7.167343382026566193e+06;2.556176156969740987e+00
3.000000000000000000e+00;6.283876731087137014e+06;2.604987674974836409e+00
4.000000000000000000e+00;2.731746547619254794e+06;2.652142842998728156e+00
5.000000000000000000e+00;3.496464691302818712e+06;2.699076774006243795e+00
6.000000000000000000e+00;2.618055492481494322e+06;2.746186667995061725e+00
7.000000000000000000e+00;1.483185522645612014e+06;2.789939421985764056e+00
8.000000000000000000e+00;1.644227847859394737e+06;2.837698638963047415e+00
9.000000000000000000e+00;7.514743977301722625e+05;2.885116702993400395e+00
1.000000000000000000e+01;1.413464976695912657e+06;2.930266159994062036e+00
1.100000000000000000e+01;1.715980817402475048e+06;2.976042573980521411e+00
1.200000000000000000e+01;1.148508835077970987e+06;3.021160225966013968e+00
1.300000000000000000e+01;8.371456792853230145e+05;3.066354012989904732e+00
1.400000000000000000e+01;9.325355299602815649e+05;3.112129848974291235e+00
1.500000000000000000e+01;6.668374761244212277e+05;3.157745666976552457e+00
1.600000000000000000e+01;7.110781727198406588e+05;3.204632406006567180e+00
1.700000000000000000e+01;8.990722098058513366e+05;3.250085559964645654e+00
1.800000000000000000e+01;6.329778709183575120e+05;3.297010249982122332e+00
1.900000000000000000e+01;2.089964182741151890e+05;3.342981358000542969e+00
2.000000000000000000e+01;4.676025515421315213e+05;3.386770682001952082e+00
2.100000000000000000e+01;4.436753921902762959e+05;3.432531894010026008e+00
2.200000000000000000e+01;3.923908539518154575e+05;3.477444546006154269e+00
2.300000000000000000e+01;2.708922928946852917e+05;3.522290524968411773e+00
2.400000000000000000e+01;3.532970057798349299e+05;3.571197194978594780e+00
2.500000000000000000e+01;4.479319671182276797e+05;3.616369832016061991e+00
2.600000000000000000e+01;2.927797936669648043e+05;3.662439769017510116e+00
2.700000000000000000e+01;2.925657112079482176e+05;3.706095394969452173e+00
