Test;Mesh;Method;Order;Cell2Ds;DOFs;Strongs;h;errorL2;errorH1;normL2;normH1;residual
1;0;1;1;16;8;5;5.0000000000000000e-01;1.0093028394620090e-01;1.0060430004530574e+00;1.4858295823747130e+00;2.0230028966839630e+00;1.9891280697202825e-15
1;0;1;1;144;72;17;2.0647876100132423e-01;1.5645231752413068e-02;4.2193728575999795e-01;1.5600412943826443e+00;2.3283251397807172e+00;6.5435535486342125e-15
1;0;1;1;1541;771;59;6.4341029499728780e-02;1.4040916571180023e-03;1.2191975314233748e-01;1.5711427890694243e+00;2.3802385843405744e+00;2.8838681135080355e-14
