2.000000000000000000e+03;0.000000000000000000e+00;9.999990000000000000e+05
0.000000000000000000e+00;3.101160199395402550e+00;2.049576246994547546e+00
1.000000000000000000e+00;1.076013670136295808e+01;2.086884954012930393e+00
2.000000000000000000e+00;2.963986925567529518e+00;2.121142368996515870e+00
3.000000000000000000e+00;6.909114697351151690e+00;2.155389194027520716e+00
4.000000000000000000e+00;5.607109467639134870e+00;2.189860726008191705e+00
5.000000000000000000e+00;2.171244942107477094e+00;2.223789818002842367e+00
6.000000000000000000e+00;2.239853926539375983e+00;2.257943467993754894e+00
7.000000000000000000e+00;2.784291190346449341e+00;2.292122122016735375e+00
8.000000000000000000e+00;1.750052340180191290e+00;2.326467701001092792e+00
9.000000000000000000e+00;9.460868619435682803e-01;2.359730438038241118e+00
1.000000000000000000e+01;1.406012875273182416e+00;2.393145180016290396e+00
1.100000000000000000e+01;1.022711492301171754e+00;2.427051028993446380e+00
1.200000000000000000e+01;6.698908492808623993e-01;2.461073763028252870e+00
1.300000000000000000e+01;7.978632005253015747e-01;2.494906674022786319e+00
1.400000000000000000e+01;6.498759011231942662e-01;2.528116355009842664e+00
1.500000000000000000e+01;6.145771353231003209e-01;2.561546318000182509e+00
1.600000000000000000e+01;5.933567313368017793e-01;2.594906744023319334e+00
1.700000000000000000e+01;4.305001784343082671e-01;2.627833836013451219e+00
1.800000000000000000e+01;5.821025031095725666e-01;2.661460775008890778e+00
1.900000000000000000e+01;3.631374993959473607e-01;2.695095882983878255e+00
2.000000000000000000e+01;4.762923818842292878e-01;2.728659908985719085e+00
2.100000000000000000e+01;5.229547962821291529e-01;2.762051596015226096e+00
2.200000000000000000e+01;2.216338954179849496e-01;2.795509363000746816e+00
2.300000000000000000e+01;5.413400059168843592e-01;2.829040749988052994e+00
2.400000000000000000e+01;5.141701467959756133e-01;2.862084451015107334e+00
2.500000000000000000e+01;3.065928146014295086e-01;2.894832605030387640e+00
2.600000000000000000e+01;4.265586598992014422e-01;2.928226185031235218e+00
2.700000000000000000e+01;4.308693553226105588e-01;2.961979623010847718e+00
2.800000000000000000e+01;3.378185096934608889e-01;2.995402429020032287e+00
2.900000000000000000e+01;2.722010727101316085e-01;3.029237048991490155e+00
