Id;Marker;Active;X;Y;Z
0;1;1;0.0000000000000000e+00;0.0000000000000000e+00;0.0000000000000000e+00
1;5;1;1.0048999999999975e-02;0.0000000000000000e+00;0.0000000000000000e+00
2;8;1;6.7762635780344027e-21;1.0049000000000160e-02;0.0000000000000000e+00
3;0;1;1.0048999999999975e-02;3.7102344226022164e-03;0.0000000000000000e+00
4;0;1;3.7102344226020048e-03;1.0049000000000160e-02;0.0000000000000000e+00
5;5;1;3.0047000000000053e-02;0.0000000000000000e+00;0.0000000000000000e+00
6;0;1;2.2674226172391801e-02;9.5691534946692903e-03;0.0000000000000000e+00
7;0;1;3.0047000000000053e-02;4.7156474459950576e-03;0.0000000000000000e+00
8;5;1;5.0044999999999951e-02;-6.7762635780344027e-21;0.0000000000000000e+00
9;0;1;5.0044999999999951e-02;6.5527443381793371e-03;0.0000000000000000e+00
10;0;1;4.0466661047835764e-02;1.1133074538517152e-02;0.0000000000000000e+00
11;5;1;7.0042999999999980e-02;0.0000000000000000e+00;0.0000000000000000e+00
12;0;1;7.0042999999999980e-02;6.2608362662630521e-03;0.0000000000000000e+00
13;0;1;5.9155459969457758e-02;1.2114990679631723e-02;0.0000000000000000e+00
14;5;1;9.0040999999999913e-02;-1.3552527156068805e-20;0.0000000000000000e+00
15;0;1;9.0040999999999913e-02;6.1689358556684115e-03;0.0000000000000000e+00
16;0;1;7.9633477899607341e-02;1.1772729046603319e-02;0.0000000000000000e+00
17;5;1;1.1003899999999991e-01;-6.7762635780344027e-21;0.0000000000000000e+00
18;0;1;1.1003899999999991e-01;5.9631857821871069e-03;0.0000000000000000e+00
19;0;1;9.9725810294051878e-02;1.1813687622800011e-02;0.0000000000000000e+00
20;5;1;1.3003699999999985e-01;0.0000000000000000e+00;0.0000000000000000e+00
21;0;1;1.3003699999999985e-01;5.9121623612271553e-03;0.0000000000000000e+00
22;0;1;1.1998169783502098e-01;1.1665572101853604e-02;0.0000000000000000e+00
23;5;1;1.5003499999999986e-01;0.0000000000000000e+00;0.0000000000000000e+00
24;0;1;1.5003499999999986e-01;5.8233872172233419e-03;0.0000000000000000e+00
25;0;1;1.3999080417797777e-01;1.1622174404176181e-02;0.0000000000000000e+00
26;5;1;1.7003299999999985e-01;6.7762635780344027e-21;0.0000000000000000e+00
27;0;1;1.7003299999999985e-01;5.8233872172233333e-03;0.0000000000000000e+00
28;0;1;1.6003399999999987e-01;1.1596081627980856e-02;0.0000000000000000e+00
29;0;1;5.8581245179396852e-03;1.5003499999999981e-01;0.0000000000000000e+00
30;8;1;6.7762635780344027e-21;1.7003299999999971e-01;0.0000000000000000e+00
31;8;1;0.0000000000000000e+00;1.5003499999999981e-01;0.0000000000000000e+00
32;0;1;1.1623063226505180e-02;1.5996517695310492e-01;0.0000000000000000e+00
33;0;1;5.8377782488082406e-03;1.7003299999999971e-01;0.0000000000000000e+00
34;0;1;5.8818119642614509e-03;1.3003699999999985e-01;0.0000000000000000e+00
35;8;1;0.0000000000000000e+00;1.3003699999999985e-01;0.0000000000000000e+00
36;0;1;1.1640178925200334e-02;1.3990281246820876e-01;0.0000000000000000e+00
37;8;1;0.0000000000000000e+00;1.1003899999999991e-01;0.0000000000000000e+00
38;0;1;5.9098734944298369e-03;1.1003899999999990e-01;0.0000000000000000e+00
39;0;1;1.1657153633515145e-02;1.1981946593329895e-01;0.0000000000000000e+00
40;8;1;-6.7762635780344027e-21;9.0041000000000024e-02;0.0000000000000000e+00
41;0;1;5.9823583444205426e-03;9.0041000000000024e-02;0.0000000000000000e+00
42;0;1;1.1676697048271071e-02;9.9715420493667148e-02;0.0000000000000000e+00
43;8;1;0.0000000000000000e+00;7.0043000000000077e-02;0.0000000000000000e+00
44;0;1;6.1304268313352771e-03;7.0043000000000064e-02;0.0000000000000000e+00
45;0;1;1.1762484821408096e-02;7.9543743826512678e-02;0.0000000000000000e+00
46;0;1;1.2106446308728451e-02;5.8821008926658890e-02;0.0000000000000000e+00
47;8;1;0.0000000000000000e+00;5.0045000000000131e-02;0.0000000000000000e+00
48;0;1;6.6850299643835846e-03;5.0045000000000103e-02;0.0000000000000000e+00
